id	school_name	school_type
108	"University Of New Mexico School Of Medicine - Albuquerque NM"	med
109	"University Of North Carolina At Chapel Hill School Of Medicine - Chapel Hill NC"	med
110	"University Of North Dakota School Of Medicine And Health Sciences - Grand Forks ND"	med
111	"University Of Oklahoma College Of Medicine - Oklahoma City OK"	med
112	"University Of Ottawa Faculty Of Medicine - Ottawa, ON Canada"	med
113	"University Of Pennsylvania School Of Medicine - Philadelphia PA"	med
114	"University Of Pittsburgh School Of Medicine - Pittsburgh PA"	med
115	"University Of Puerto Rico School Of Medicine - San Juan PR"	med
116	"University Of Rochester School Of Medicine And Dentistry - Rochester NY"	med
117	"University Of Saskatchewan College Of Medicine - Saskatoon Sk Canada"	med
118	"University Of South Alabama College Of Medicine - Mobile AL"	med
119	"University Of South Carolina School Of Medicine - Columbia SC"	med
120	"University Of South Dakota School Of Medicine - Sioux Falls  SD"	med
121	"University Of South Florida College Of Medicine - Tampa FL"	med
123	"University Of Texas Medical School At San Antonio - San Antonio TX"	med
125	"University Of Texas  - Houston Medical School - Houston TX"	med
126	"University Of Texas Medical Branch At Galveston - Galveston TX"	med
127	"University Of Toronto Faculty Of Medicine - Toronto ON Canada"	med
128	"University Of Utah School Of Medicine - Salt Lake City UT"	med
129	"University Of Vermont College Of Medicine - Burlington VT"	med
130	"University Of Virginia School Of Medicine - Charlottesville VA"	med
131	"University Of Washington School Of Medicine - Seattle WA"	med
132	"University Of Western Ontario Faculty Of Medicine & Dentistry London ON Canada"	med
133	"University Of Wisconsin Medical School - Madison WI"	med
134	"Vanderbilt University School Of Medicine - Nashville TN"	med
135	"Virginia Commonwealth University School Of Medicine (Previously MCV) - Richmond VA"	med
136	"Wake Forest University School Of Medicine - Winston-Salem NC"	med
137	"Washington University School Of Medicine - St. Louis MO"	med
138	"Wayne State University School Of Medicine - Detroit MI"	med
139	"West Virginia University School Of Medicine - Morgantown WV"	med
140	"Wright State University School Medicine - Dayton OH"	med
141	"Yale University School Of Medicine - New Haven CT"	med
342	"Barry University School Of Graduate Medical Sciences - Miami Shores FL"	pod
344	"Des Moines University College Of Podiatric Medicine And Surgery - Des Moines IA"	pod
346	"New York College Of Podiatric Medicine - New York NY"	pod
347	"Ohio College Of Podiatric Medicine - Cleveland OH"	pod
348	"Temple University School Of Podiatric Medicine - Philadelphia PA"	pod
249	"Midwestern University Arizona College of Osteopathic Medicine - Glendale AZ"	ost
250	"Midwestern University Chicago College of Osteopathic Medicine - Downers Grove IL"	ost
254	"Michigan State University, College Of Osteopathic Medicine - East Lansing MI"	ost
251	"Des Moines University College of Osteopathic Medicine - Des Moines IA"	ost
256	"Nova Southeastern University, College Of Osteopathic Medicine - Fort Lauderdale FL"	ost
257	"Ohio University, College Of Osteopathic Medicine - Athens OH"	ost
255	"New York College of Osteopathic Medicine of the New York Institute of Technology - Old Westbury NY"	ost
259	"Philadelphia College Of Osteopathic Medicine - Philadelphia PA"	ost
260	"Pikeville College School Of Osteopathic Medicine - Pikeville KY"	ost
258	"Oklahoma State University Center for Health Sciences College of Osteopathic Medicine - Tulsa OK"	ost
261	"Kansas City University of Medicine and Bioscience College of Osteopathic Medicine - Kansas City MO"	ost
263	"University Of Medicine And Dentistry Of New Jersey, School Of Osteopathic Medicine Academic Center- Stratford NJ"	ost
264	"University Of New England, College Of Osteopathic Medicine - Biddleford ME"	ost
265	"University Of North Texas Health Sciences Center At Fort Worth, Texas College Of Osteopathic Medicine - Fort Worth TX"	ost
266	"Western University Of Health Sciences, College Of Osteopathic Medicine Of The Pacific - Pomona CA"	ost
267	"West Virginia School Of Osteopathic Medicine - Lewisburg WV"	ost
142	"University Of Oklahoma College Of Medicine - Tulsa OK"	med
145	"University of Illinois College of Medicine at Urbana-Champaign- Urbana IL"	med
15	"Rosalind Franklin University of Medicine and Science/Chicago Medical School - North Chicago IL"	med
61	"University at Buffalo SUNY School of Medicine and Biomedical Sciences - Buffalo NY"	med
146	"Oral Roberts University School of Medicine - Tulsa OK"	med
147	"San Juan Bautista Medical School - Puerto Rico USA"	med
268	"Edward Via Virginia College of Osteopathic Medicine - Blacksburg VA"	ost
60	"Stony Brook University School of Medicine (SUNY) - Stony Brook NY"	med
58	"SUNY Downstate Medical Center College of Medicine - Brooklyn NY"	med
